sample_id	read_count	gc_content	seq_score	read_length	map_score
barcode01	read	occurence
Mapped	3807
No mapped	402
total	4209	GC_content,mapped,occurence
44.18,0.0,1.0
44.18,1.0,3.0
44.19,0.0,1.0
44.19,1.0,5.0
44.2,0.0,1.0
44.2,1.0,3.0
44.21,1.0,5.0
44.22,1.0,4.0
44.23,1.0,5.0
44.24,0.0,1.0
44.24,1.0,2.0
44.25,1.0,6.0
44.26,1.0,2.0
44.27,1.0,4.0
44.28,1.0,1.0
44.29,1.0,5.0
44.3,1.0,6.0
44.31,1.0,3.0
44.32,1.0,3.0
44.33,1.0,6.0
44.34,1.0,3.0
44.35,0.0,2.0
44.35,1.0,2.0
44.36,1.0,6.0
44.37,1.0,3.0
44.38,0.0,2.0
44.38,1.0,9.0
44.39,0.0,1.0
44.39,1.0,8.0
44.4,0.0,1.0
44.4,1.0,5.0
44.41,0.0,1.0
44.41,1.0,3.0
44.42,1.0,9.0
44.44,1.0,5.0
44.46,0.0,1.0
44.46,1.0,2.0
44.47,1.0,8.0
44.48,1.0,1.0
44.49,1.0,6.0
44.5,0.0,1.0
44.5,1.0,2.0
44.51,0.0,1.0
44.51,1.0,6.0
44.52,1.0,5.0
44.53,1.0,6.0
44.54,0.0,1.0
44.54,1.0,5.0
44.55,1.0,6.0
44.56,1.0,6.0
44.57,1.0,3.0
44.58,1.0,8.0
44.59,0.0,1.0
44.59,1.0,4.0
44.6,1.0,2.0
44.61,1.0,5.0
44.62,0.0,1.0
44.62,1.0,8.0
44.63,1.0,6.0
44.64,0.0,1.0
44.64,1.0,6.0
44.65,0.0,1.0
44.65,1.0,4.0
44.66,1.0,6.0
44.67,0.0,1.0
44.67,1.0,2.0
44.68,1.0,5.0
44.69,1.0,3.0
44.7,0.0,1.0
44.7,1.0,2.0
44.71,1.0,7.0
44.72,1.0,7.0
44.73,1.0,4.0
44.74,1.0,9.0
44.76,1.0,3.0
44.77,1.0,6.0
44.78,1.0,5.0
44.79,1.0,12.0
44.8,0.0,1.0
44.8,1.0,5.0
44.81,0.0,1.0
44.81,1.0,10.0
44.82,1.0,2.0
44.83,1.0,6.0
44.84,1.0,11.0
44.85,1.0,2.0
44.86,0.0,1.0
44.86,1.0,6.0
44.87,0.0,1.0
44.87,1.0,5.0
44.88,1.0,1.0
44.89,1.0,6.0
44.9,1.0,2.0
44.91,1.0,5.0
44.92,1.0,4.0
44.93,1.0,3.0
44.94,0.0,2.0
44.94,1.0,4.0
44.95,1.0,1.0
44.96,1.0,3.0
44.97,1.0,4.0
44.98,1.0,3.0
44.99,1.0,3.0
45.0,0.0,1.0
45.0,1.0,12.0
45.01,1.0,2.0
45.02,0.0,1.0
45.02,1.0,6.0
45.03,1.0,10.0
45.04,0.0,1.0
45.04,1.0,3.0
45.05,1.0,14.0
45.06,1.0,9.0
45.07,1.0,3.0
45.08,1.0,6.0
45.09,1.0,4.0
45.1,1.0,4.0
45.11,1.0,9.0
45.12,1.0,3.0
45.13,1.0,6.0
45.14,1.0,5.0
45.15,1.0,3.0
45.16,0.0,1.0
45.16,1.0,7.0
45.17,1.0,3.0
45.18,1.0,5.0
45.19,1.0,5.0
45.2,0.0,1.0
45.2,1.0,4.0
45.21,0.0,1.0
45.21,1.0,2.0
45.22,1.0,2.0
45.23,1.0,13.0
45.24,0.0,1.0
45.24,1.0,4.0
45.25,0.0,1.0
45.25,1.0,8.0
45.26,1.0,5.0
45.27,1.0,6.0
45.28,1.0,6.0
45.29,0.0,1.0
45.29,1.0,6.0
45.3,0.0,1.0
45.3,1.0,2.0
45.31,1.0,9.0
45.32,1.0,4.0
45.33,0.0,2.0
45.33,1.0,9.0
45.34,0.0,1.0
45.34,1.0,8.0
45.35,1.0,14.0
45.36,0.0,1.0
45.36,1.0,7.0
45.37,1.0,1.0
45.38,1.0,11.0
45.39,0.0,1.0
45.39,1.0,7.0
45.4,1.0,2.0
45.41,1.0,7.0
45.42,1.0,3.0
45.43,1.0,6.0
45.44,1.0,1.0
45.45,0.0,2.0
45.45,1.0,18.0
45.47,1.0,2.0
45.48,1.0,4.0
45.49,1.0,4.0
45.5,1.0,8.0
45.51,0.0,1.0
45.51,1.0,2.0
45.52,1.0,4.0
45.53,1.0,5.0
45.54,1.0,3.0
45.55,1.0,1.0
45.56,1.0,7.0
45.57,1.0,4.0
45.58,1.0,4.0
45.59,1.0,6.0
45.6,1.0,6.0
45.61,0.0,1.0
45.61,1.0,11.0
45.62,0.0,1.0
45.62,1.0,2.0
45.63,1.0,3.0
45.64,1.0,8.0
45.65,1.0,6.0
45.66,1.0,14.0
45.67,1.0,4.0
45.68,1.0,2.0
45.69,1.0,7.0
45.7,0.0,1.0
45.7,1.0,10.0
45.71,0.0,1.0
45.71,1.0,11.0
45.72,1.0,2.0
45.73,1.0,2.0
45.74,1.0,12.0
45.75,0.0,1.0
45.75,1.0,15.0
45.76,1.0,3.0
45.77,1.0,1.0
45.78,1.0,2.0
45.79,1.0,2.0
45.8,1.0,3.0
45.81,1.0,3.0
45.82,1.0,5.0
45.83,1.0,5.0
45.84,1.0,1.0
45.85,1.0,3.0
45.86,0.0,1.0
45.86,1.0,16.0
45.87,1.0,1.0
45.88,1.0,2.0
45.89,1.0,6.0
45.9,1.0,5.0
45.91,1.0,4.0
45.92,0.0,1.0
45.92,1.0,7.0
45.93,1.0,9.0
45.94,1.0,1.0
45.95,1.0,10.0
45.96,1.0,2.0
45.97,1.0,6.0
45.98,0.0,1.0
45.98,1.0,10.0
45.99,1.0,14.0
46.0,0.0,1.0
46.0,1.0,13.0
46.01,1.0,4.0
46.02,1.0,3.0
46.03,1.0,3.0
46.04,1.0,6.0
46.05,1.0,6.0
46.06,1.0,20.0
46.07,1.0,7.0
46.08,1.0,6.0
46.09,1.0,7.0
46.1,1.0,3.0
46.11,1.0,1.0
46.12,1.0,6.0
46.13,0.0,1.0
46.13,1.0,3.0
46.15,1.0,12.0
46.16,0.0,1.0
46.17,1.0,2.0
46.18,0.0,1.0
46.18,1.0,15.0
46.19,1.0,3.0
46.2,1.0,9.0
46.21,1.0,10.0
46.22,1.0,6.0
46.23,1.0,10.0
46.24,1.0,26.0
46.25,0.0,1.0
46.25,1.0,3.0
46.27,1.0,3.0
46.28,1.0,7.0
46.29,1.0,5.0
46.3,1.0,4.0
46.31,1.0,3.0
46.32,1.0,3.0
46.33,1.0,4.0
46.34,1.0,6.0
46.35,0.0,1.0
46.35,1.0,4.0
46.36,0.0,1.0
46.36,1.0,7.0
46.37,1.0,10.0
46.38,1.0,2.0
46.39,1.0,8.0
46.4,1.0,1.0
46.41,0.0,1.0
46.41,1.0,7.0
46.42,1.0,7.0
46.43,1.0,4.0
46.44,1.0,3.0
46.45,1.0,12.0
46.46,1.0,2.0
46.47,1.0,9.0
46.48,1.0,7.0
46.49,1.0,12.0
46.5,1.0,7.0
46.51,1.0,4.0
46.52,1.0,13.0
46.53,1.0,5.0
46.54,0.0,1.0
46.54,1.0,5.0
46.55,1.0,9.0
46.56,1.0,3.0
46.57,1.0,1.0
46.58,1.0,15.0
46.59,0.0,1.0
46.59,1.0,5.0
46.6,1.0,3.0
46.61,1.0,4.0
46.62,1.0,3.0
46.63,0.0,2.0
46.63,1.0,3.0
46.64,1.0,6.0
46.65,1.0,2.0
46.67,1.0,39.0
46.68,1.0,1.0
46.69,1.0,35.0
46.7,0.0,1.0
46.7,1.0,6.0
46.71,0.0,1.0
46.71,1.0,12.0
46.72,1.0,6.0
46.73,0.0,1.0
46.73,1.0,3.0
46.74,1.0,24.0
46.75,1.0,6.0
46.76,1.0,6.0
46.77,1.0,20.0
46.78,1.0,2.0
46.79,1.0,6.0
46.8,0.0,1.0
46.8,1.0,1.0
46.81,0.0,1.0
46.81,1.0,15.0
46.82,1.0,7.0
46.83,1.0,6.0
46.84,1.0,6.0
46.85,1.0,8.0
46.86,1.0,8.0
46.88,1.0,9.0
46.89,1.0,3.0
46.9,1.0,4.0
46.92,1.0,19.0
46.93,1.0,8.0
46.94,1.0,4.0
46.95,1.0,9.0
46.96,1.0,7.0
46.97,1.0,3.0
46.98,1.0,2.0
46.99,1.0,9.0
47.0,1.0,5.0
47.01,1.0,3.0
47.02,0.0,1.0
